Species Name,In JSON List,Total Photos (Label),Has Taxonomic Keyword,Published to SmugMug,Mismatched/Needs Tagging
Lawrence's Goldfinch,Yes,209,1,1,208
Snow Bunting,Yes,210,4,2,206
Yellow Warbler,Yes,207,7,7,200
Red-billed Tropicbird,Yes,203,4,5,199
Horned Grebe,Yes,202,4,4,199
The Tubes,No,194,0,0,194
Great Skua,Yes,194,8,7,188
Inca Tern,Yes,189,1,1,188
Allen's Hummingbird,Yes,187,3,3,184
White-tailed Kite,Yes,179,1,1,178
Crested Caracara,Yes,177,43,2,175
Lazuli Bunting,Yes,176,1,1,175
Portraits,No,175,0,0,175
Bride Get Ready,No,174,0,0,174
Galapagos Shearwater,Yes,174,2,2,172
Western Gull,Yes,175,4,4,171
Red-necked Grebe,Yes,173,3,3,170
Long-tailed Jaeger,Yes,170,6,6,164
Giant Petrel,No,160,0,4,160
Willow Ptarmigan,Yes,161,5,5,156
Rock Ptarmigan,Yes,159,4,4,155
Double-crested Cormorant,Yes,158,3,3,155
Bald Eagle,Yes,152,1,1,151
Razorbill,Yes,150,1,1,149
Red Knot,Yes,149,0,1,149
Manatee,No,148,0,0,148
Adam's 40th Birthday Party,No,146,0,0,146
Tundra Swan,Yes,145,1,1,145
Western Bluebird,Yes,146,2,2,144
Scarlet Macaw,Yes,145,1,1,144
Flamingo,No,143,0,1,143
Common Eider,Yes,216,74,5,142
Nazca Booby,Yes,144,4,4,140
Loggerhead Shrike,Yes,140,3,3,137
Caribou,No,135,0,0,135
Diademed Sandpiper-Plover,No,135,439,2,134
Great Kiskadee,Yes,132,37,3,129
Greater Roadrunner,Yes,129,2,2,127
Horned Lark,Yes,125,1,1,124
Swamp Sparrow,Yes,125,1,1,124
Northern Fulmar,Yes,138,15,10,123
Snowy Plover,Yes,119,1,1,118
Green-backed Firecrown,Yes,118,133,2,117
Acorn Woodpecker,Yes,118,2,2,116
Wood Duck,Yes,113,1,1,112
Red-cockaded Woodpecker,No,113,3,3,110
Chimango Caracara,Yes,110,424,4,109
