Species Name,In JSON List,Total Photos (Label),Has Taxonomic Keyword,Published to SmugMug,Mismatched/Needs Tagging
Brown Creeper,Yes,20,20,1,0
Cinnamon Teal,Yes,20,20,1,0
Galapagos Petrel,No,20,20,1,0
Gray-backed Storm-Petrel,No,20,20,1,0
Gyrfalcon,No,20,20,1,0
Common Wood-Pigeon,Yes,19,19,1,0
Great Black Hawk,No,19,19,1,0
Hermit Warbler,Yes,19,19,2,0
Red-fronted Coot,No,19,19,2,0
Stripe-tailed Hummingbird,No,19,19,1,0
Black-capped Flycatcher,No,18,18,1,0
Buff-throated Saltator,Yes,18,18,2,0
Eastern Screech-Owl,Yes,18,18,1,0
Flame-throated Warbler,No,18,18,1,0
Orange-collared Manakin,Yes,18,18,2,0
White-throated Robin,No,18,18,1,0
Brown Jay,Yes,17,17,1,0
Golden-olive Woodpecker,No,17,17,1,0
Trumpeter Swan,Yes,17,17,1,0
Volcano Hummingbird,No,17,17,1,0
Arizona Woodpecker,Yes,16,16,2,0
Flame-rumped Tanager,No,16,16,1,0
Orchard Oriole,Yes,16,16,2,0
Ring-necked Pheasant,Yes,16,16,1,0
Black-throated Blue Warbler,Yes,15,15,4,0
Diuca Finch,No,15,106,3,0
Eurasian Penduline-Tit,No,15,15,1,0
Floreana Mockingbird,No,15,15,0,0
Gray-breasted Mountain-Toucan,No,15,15,1,0
Orange-winged Amazon,No,15,15,1,0
Savanna Hawk,No,15,15,1,0
Trinidad Motmot,No,15,15,1,0
Tufted Flycatcher,No,15,15,1,0
Blue-winged Mountain Tanager,Yes,14,14,2,0
Bronze-winged Parrot,No,14,14,0,0
Smoky-brown Woodpecker,No,14,14,1,0
Sulphur-bellied Tyrannulet,No,14,14,1,0
Tropical Gnatcatcher,No,14,14,1,0
White-throated Mountain-gem,No,14,15,2,0
Black-bellied Plover,Yes,13,13,1,0
Black-billed Nightingale-Thrush,Yes,13,13,2,0
Eastern Kingbird,Yes,13,13,1,0
Masked Water-Tyrant,No,13,13,1,0
Andean Hillstar,No,12,12,1,0
Blackburnian Warbler,Yes,12,12,2,0
Ovenbird,Yes,12,12,4,0
Black-cheeked Mountain Tanager,No,11,11,1,0
California Scrub-Jay,Yes,11,11,1,0
Northern Black-throated Trogon,Yes,11,11,1,0
Ochre-bellied Flycatcher,Yes,11,11,2,0
Andean Potoo,No,10,10,0,0
Black-chinned Siskin,No,10,10,1,0
Black-throated Sparrow,Yes,10,10,1,0
Carib Grackle,No,10,10,2,0
Northern Wheatear,Yes,10,10,2,0
Bell's Sparrow,Yes,8,8,1,0
Bullock's Oriole,Yes,8,8,2,0
Cackling Goose,Yes,8,8,1,0
Chestnut Woodpecker,Yes,8,8,1,0
Arctic Warbler,Yes,7,7,1,0
Black-faced Grosbeak,Yes,7,7,1,0
Blue-backed Conebill,No,7,7,1,0
Boat-billed Flycatcher,No,7,7,2,0
Brewer's Sparrow,Yes,7,7,2,0
Lesser Necklaced Laughingthrush,No,7,7,2,0
Lesson's Motmot,No,7,7,1,0
Black Hornbill,No,6,6,6,0
Blue-black Grassquit,Yes,6,6,1,0
Brown Inca,Yes,6,6,1,0
Buller's Shearwater,Yes,6,6,1,0
Canyon Towhee,Yes,6,6,3,0
Caribbean Martin,No,6,6,1,0
Bicolored Conebill,No,5,5,1,0
Black-and-yellow Silky-flycatcher,No,5,5,1,0
Blue-chinned Sapphire,No,5,5,1,0
Bluish Flowerpiercer,Yes,5,5,2,0
Canada Warbler,No,5,5,1,0
Pink-footed Goose,No,5,5,1,0
Silver-breasted Broadbill,No,5,5,5,0
Austral Thrush,No,4,4,1,0
Beryl-spangled Tanager,No,4,4,1,0
Black Rail,No,4,4,0,0
Bridled Titmouse,No,4,4,1,0
Brown Booby,Yes,4,31,2,0
Brown-crested Flycatcher,No,4,4,1,0
Kalij Pheasant,No,4,4,4,0
Salvin's Albatross,No,4,152,5,0
White-booted Racket-tail,No,4,4,4,0
Alpine Accentor,Yes,3,3,1,0
Antarctic Tern,No,3,3,3,0
Ashy Drongo,No,3,3,3,0
Asian Emerald Dove,No,3,3,3,0
Auckland Islands Shag,No,3,3,3,0
Black-cheeked Woodpecker,No,3,3,1,0
Black-crested Warbler,Yes,3,3,1,0
Black-headed Gull,No,3,3,2,0
Black-naped Monarch,No,3,3,3,0
Blue-and-white Swallow,No,3,14,0,0
Blue-backed Manakin,No,3,3,0,0
Checker-throated Woodpecker,No,3,3,2,0
Forster's Tern,Yes,3,3,1,0
Greater Racket-tailed Drongo,No,3,3,3,0
Large Ground-Finch,Yes,3,3,3,0
Antarctic Prion,Yes,2,2,2,0
Asian Fairy-bluebird,No,2,2,2,0
Black-crested Antshrike,No,2,2,0,0
Black-tailed Tityra,No,2,2,0,0
Black-throated Thrush,No,2,2,0,0
Blue Dacnis,No,2,2,0,0
Blue-throated Goldentail,No,2,2,0,0
Brown Boobook,No,2,2,2,0
Brown Violetear,Yes,2,2,2,0
Buff-bellied Hummingbird,Yes,2,2,1,0
California Gull,Yes,2,2,1,0
Campbell Islands Teal,No,2,2,2,0
Cassin's Vireo,No,2,2,2,0
Common Sandpiper,No,2,2,2,0
Common Snipe,No,2,2,2,0
Erect-crested Penguin,No,2,2,2,0
European Robin,Yes,2,2,2,0
Macquarie Shag,No,2,2,2,0
New Zealand Fantail,No,2,2,2,0
Orange-breasted Trogon,No,2,4,3,0
Painted Stork,No,2,2,2,0
Redpoll,No,2,2,2,0
Snares Penguin,No,2,2,2,0
Spotted Owlet,No,2,3,3,0
White-fronted Tern,No,2,2,2,0
White-throated Dipper,Yes,2,2,2,0
Yellow-legged Gull,No,2,2,2,0
Alder Flycatcher,Yes,1,1,1,0
Andean Emerald,No,1,1,1,0
Andean Flamingo,No,1,1,1,0
Black Redstart,Yes,1,1,1,0
Black Rosy-Finch,Yes,1,1,1,0
Black Scoter,No,1,1,1,0
Black Woodpecker,No,1,1,1,0
Black-and-red Broadbill,No,1,1,1,0
Black-banded Owl,Yes,1,1,1,0
Black-bellied Hummingbird,No,1,1,0,0
Black-crested Bulbul,No,1,1,1,0
Black-naped Oriole,No,1,1,1,0
Black-winged Stilt,No,1,1,1,0
Blue-necked Tanager,No,1,1,1,0
Blue-winged Leafbird,No,1,2,1,0
Bluethroat,Yes,1,1,1,0
Brahminy Kite,No,1,1,1,0
Carrion Crow,Yes,1,1,1,0
Cassin's Auklet,Yes,1,1,1,0
Cassin's Finch,No,1,1,1,0
Channel-billed Toucan,No,1,1,0,0
Common Redshank,No,1,1,1,0
Common Shelduck,Yes,1,1,1,0
Eurasian Griffon,Yes,1,1,1,0
Eurasian Thick-knee,Yes,1,1,1,0
Great Cormorant,Yes,1,1,1,0
Iberian Gray Shrike,No,1,1,1,0
Indian White-eye,No,1,1,1,0
Indian Yellow-nosed Albatross,No,1,1,1,0
Indochinese Blue Flycatcher,No,1,1,1,0
Large Scimitar-Babbler,No,1,1,1,0
Light-mantled Albatross,Yes,1,2,2,0
Little Egret,No,1,1,1,0
Little Grebe,Yes,1,1,1,0
Medium Ground-Finch,No,1,2,2,0
Morelet's Seedeater,Yes,1,1,1,0
Neotropic Cormorant,Yes,1,1,1,0
New Zealand Pigeon,No,1,1,1,0
Northern Giant-Petrel,Yes,1,32,1,0
Northern Royal Albatross,Yes,1,78,1,0
Pine Siskin,No,1,1,1,0
Pitt Island Shag,No,1,1,1,0
Red Crossbill,Yes,1,1,1,0
Red-breasted Nuthatch,Yes,1,1,1,0
Ruddy-breasted Seedeater,No,1,1,1,0
Shore Plover,No,1,1,1,0
Short-billed Dowitcher,Yes,1,1,1,0
Short-billed Gull,Yes,1,1,1,0
Silver Gull,No,1,1,1,0
Silvereye,No,1,1,1,0
Slender-billed Gull,Yes,1,1,1,0
Small Ground-Finch,Yes,1,2,2,0
Song Thrush,No,1,1,1,0
South Georgia Shag,Yes,1,1,1,0
Southern Royal Albatross,No,1,2,2,0
Southern White-fringed Antwren,No,1,1,1,0
Spoon-billed Sandpiper,No,1,2,2,0
Western Cattle-Egret,Yes,1,1,1,0
White-browed Scimitar-Babbler,No,1,1,1,0
White-winged Snowfinch,Yes,1,1,1,0
Whooper Swan,No,1,1,1,0
Wilson's Storm-Petrel,No,1,220,2,0
Yellow-billed Chough,Yes,1,1,1,0
Common Chlorospingus,Yes,0,1,1,0
Common Ground Dove,Yes,0,1,1,0
Steller's Jay,Yes,0,1,1,0
